t268357648;t290749718;t372226525;t751169994;t1159091985;t1311180441;t1431595225;t1824284809;t1990024365;t2411117902;t2451517896;t2643905994;t2748282437;t2821698184;t3138706091;t3649082374;t4125607023;t4127043053;t4157170894;Y
17706;391407398;16425151;152254077;27725066;3632970;1714929309;3362587;368578965;5711133;384613531;54749110727;54604712701;143981000000;4265969;117337000000;0;10023718;2497969915;0
8210;330515700;18193276;170871573;29045813;2454050;1547320357;3193485;362248905;8470712;376175802;53984911508;49491157242;131421000000;4729104;105300000000;0;4975902;2730872761;0
14122;417134297;14542862;142309056;32304759;3450870;1469875050;4200397;354068623;7736824;384770502;49185960511;51598835483;130544000000;4010550;103858000000;0;9604551;2598844439;0
17455;476792071;15447444;269896526;35833017;13882056;1360552096;3593713;369680874;5566156;395078945;45656675113;59767913935;139643000000;3864466;112535000000;0;5604217;2343424538;0
11571;343132529;11252704;216531883;33706659;9839098;1823251884;3489361;399160917;6388030;386742203;47980711138;52749898377;130220000000;3102327;102204000000;0;5603668;2290598653;0
6765;329236641;12406080;466128876;41139573;2662105;1857903108;3361131;380872579;11995176;385114446;45400843864;48256857619;121906000000;3969364;94939406346;0;4410589;2685511667;0
7282;338599654;73918798;208690579;52589321;1340961;1761610353;3404382;369243456;5640145;385384408;53487444401;48086531518;128627000000;3142247;102545000000;0;5231713;2219715586;0
2418;331210065;35374698;183511304;36237478;1052220;1885288186;9603897;387416669;5850111;393499171;45824748699;44581989640;117064000000;3311563;90115151683;0;3879513;2367560404;0
473;333242872;9548395;232115376;26840588;1003562;2117234196;3853082;420829526;6379031;425296340;50387689725;43343392781;124849000000;3042800;96178773981;0;4082729;2728114506;0
653;533185788;8075011;233851649;23807830;982481;2125706973;3511556;417288663;9499557;443002649;48775636332;39863763550;120686000000;2736098;91941381441;0;3712077;3513378359;0
1625;796419740;15660917;353348019;23287703;689901;2371494894;3608695;424829905;6159062;411921379;45157694114;39979077050;115396000000;2246612;87543041295;0;3650438;2342964971;0
1206;286303067;258693877;253396526;23221488;162612207;2662364266;230086784;361547594;6229052;381474997;38917232771;41469199997;108099000000;22237795;83677690998;0;3400544;2386640270;0
22604;274373372;150034577;239318710;12032030;91876436;1881711785;131229567;267969537;7527855;375103971;23112624312;37143398009;80889008043;14563847;61016093660;0;2688050;2853916962;0
39072;1042671723;108373812;125090895;32961106;32255895;1038298507;13715665;211331793;13449951;967891841;21163134405;42359996256;88267069198;13257979;72781407100;0;4815539;4636539481;0
10893;972183520;604509254;140909559;41752235;190101966;1123266728;98512614;171584265;9425567;430664530;9326380317;42186669420;75557033165;16970311;65996407538;0;3772810;2834737498;0
3873;457313986;124968038;131036193;18569012;208701947;2729092880;1926145209;194820995;13626926;1459086176;30052653262;34458834660;95123390620;9794416;82361637830;0;5971308;4842572204;0
10364;284171244;428156547;132627241;36517022;160680481;1058989987;94559557;136483730;5787121;485453200;11521757553;62819010733;95709920719;300041325;86609350114;0;10095564;2302683214;0
23236;286126755;331107422;111145982;70901398;13411743;558805460;17181855;110619401;5401180;476239586;6634113180;47652562852;69867667747;284813262;62645047884;0;7108090;1873599978;0
69330;248873081;299263272;116406783;50106883;9849618;1366502996;8475943;117566085;4317344;449858607;9216602940;58234039003;84116938621;15970532;75456770111;0;3830698;1590947252;0
11811014;563324149;143627360;157535976;31753274;12796335;1356906309;3565723;189963694;7722826;473528007;21875622671;68630885919;141089000000;30181788;133852000000;0;14836045;2248845581;1
2630398;409902670;117991773;361733573;46627627;32253490;992774210;6050067;647950707;57644241;304316736;53710214240;82366647897;434750000000;57090637;419909000000;0;26538482;3126737759;1
435508;463872813;135307854;454346219;61495512;28675959;1389244560;6863208;868897394;14952728;264030864;49410590125;66153916053;401443000000;22787158;381780000000;0;7078749;2931711830;1
76418;334150728;27432826;192136275;51000393;8063805;1157934611;3263965;264836593;4264351;323474812;24250293932;50747524792;96660845365;8306031;77937526759;0;2298300;1697203721;0
100089;382524288;21312995;162712889;52851477;4411952;1444531989;3570213;326670419;4796272;346607307;40900451913;53631964573;125469000000;8766115;101741000000;0;4279875;2053908443;0
45620;351034492;15275437;152821137;39206813;3476324;1453635228;3334569;344961101;5303193;362697850;43589022647;52253334613;126544000000;4294905;105738000000;0;5000542;2111195691;0
19482;345645627;18543908;146485415;40018777;3485638;1551954482;3327226;407790206;6688980;396228752;48686920207;55119396150;138493000000;5574417;107926000000;0;6321626;2658529555;0
52254;340759417;16273737;203067174;46895337;2910261;1566294782;4552544;395522634;6235050;393963096;44924473897;54222518012;131599000000;4630016;100512000000;0;5608051;2444547956;0
6651;377536833;14490326;167620445;53950459;2993173;1465069619;3544804;403388935;7420869;395246912;46183928988;58952119437;148913000000;3949017;117607000000;0;15587559;2765851775;0
11197;368208562;12643269;199967394;43755058;2052051;1644538153;3673208;405781742;6677987;399134318;48714666763;55482669174;139214000000;4169011;107944000000;0;6325064;2496420822;0
26714;360996754;23756535;141356213;45533651;2961686;1811099393;3447622;420384227;15067709;445621236;47459898823;57186944595;138744000000;6440358;107560000000;0;7209177;3613694248;0
96063;333755248;12456823;356030158;37529862;1358635;1644831333;3551621;374668722;6303043;395261907;44089159006;48170643957;121286000000;3373958;93155929796;0;4800853;2414080149;0
672;313010253;9516507;258669433;31124795;1031921;1785580369;3644962;385028248;6829960;326199407;48256209667;43980800979;120027000000;2924339;92217348683;0;4252740;2707418642;0
2034;339194358;9855116;297917815;27403856;1402710;2291600799;3776344;451248428;6424024;371041581;53923486938;43671015902;131215000000;3614335;98470649515;0;4612130;2913326080;0
4084;339949477;8237626;316117050;28588157;1066011;2428558526;3769508;456070537;9564544;391223527;57941458217;42538050321;136852000000;2765624;104553000000;0;4535168;3660994202;0
2536;286089599;7618355;322176842;22036129;672826;2076499773;3616029;410602903;6677982;422707734;46362083822;39139479695;116453000000;2290382;86651377978;0;4172432;2709147875;0
1718;285866951;256500177;352203456;14255842;161819496;2511954862;229312081;364707293;6042080;392062376;37467809751;41066868422;106990000000;22066061;80588815673;0;3595592;2440360587;0
17521;271509538;151027717;202644587;10163069;92226044;1554079021;131195983;292196398;8439715;403333670;25586103163;39294619464;88279472973;15087141;65082119219;0;5290547;3214245993;0
96751;306660444;128485131;175627887;35296819;27074543;890431009;13987135;222769354;8604697;1064858115;19090665388;41400797982;86934923933;20257408;69057861478;0;5661793;5944676438;0
7426;280603132;744141406;194503673;42869937;164788685;1293070062;98231052;192739650;7446866;401589935;10024106114;38289075680;71735242731;16475267;60793936528;0;3542547;2519804600;0
5312;241013245;64084483;116389774;22061779;26128983;386970685;27560346;129536480;11098313;1349962760;8388844897;28728067161;55827298169;8829676;46046304224;0;5025561;4354187958;0
9062;227179506;594002337;133445642;24589484;22611701;1071405693;24737138;120579631;3683439;434595934;6472873110;46940069911;67804032410;558069083;58999922873;0;6391303;1993618819;0
26763;252779553;54030783;111835788;66134442;12208327;281544569;15156324;115717891;5431177;472906098;6106583957;46645963795;68642156138;11357135;60728482757;0;5525137;2375765362;0
96449;228774955;143315988;115453757;49093261;9800912;1163695074;8344627;118585497;4106375;433145155;7508093510;48585923402;74019395429;15971433;65105763584;0;4057940;2002575619;0
1842781;511338512;384216482;122409181;32937557;7737704;1106859759;3369006;136202031;7869807;446521109;12519435474;31559329572;61582180585;14725117;53713470035;0;15893460;2245384455;0
1880432;287676134;63724990;128207068;37776452;18785661;453897640;3515520;156462766;58285148;292349565;15201989394;33161635612;64078321305;23881646;50736009039;0;2268889;2255409782;0
331784;817533854;39174779;117292141;42522863;7857636;663385181;3177144;179130566;14877739;256229044;13642782052;34968315621;68125222935;10082717;53379955207;0;2015975;2043750217;0
